5,19,1,1,1397.5,1446.5,1510.9,1582,1561.8,1650,1687.4,1718.7,1762.4,1790.2,1874.7,1877.1,1868.8,1911.6,1973.5,2051.1,2064.9,2102.6,2135.7,2166.8,2166.9,2324,2319.1,2420.6,2377.6,2394.3,2437,2491.3,2581.4,2567.2,2830.7,2867.1,2843.4,2987,3272.8,3298.4,3394.3,3441.5,3574.1,3673.7,3640.1,3604.5,3648.8,3634.2,3502.5,3426.4,3434.6,3215.9,3211.7,3202,3101.8
5,19,1,9,2362.5,2527.4,2762,2991.5,3003.3,3331.2,3505,3521.7,3796.5,3964.3,4393.5,4598.7,4743.3,4993.5,5399.7,5726.3,5887.7,6115.5,6236.2,6579.5,6776.4,6980.3,7193.3,7491.6,7450.8,7738.6,7815.5,8179.9,8570.9,8516.7,9256.5,9861.9,10509,11093,11558,12029,12410,13471,13508,14377,14841,15058,15694,16019,15343,15632,16554,16072,16970,16312,16512
5,19,1,17,1466.1,1522.4,1612.2,1685.2,1718.9,1812.2,1882.5,1937.5,2016.3,2073.5,2204.8,2292.5,2326.3,2400,2522.1,2619.1,2726.6,2824.5,2875.2,3043.8,3097.4,3240.1,3352.9,3467.2,3477.8,3429.2,3520.9,3657.4,3834,3829.9,4131.9,4130.6,4228.9,4383.5,4548.2,4630.7,4901,4922,5053.2,5189.4,5281.1,5157.8,5289.9,5206.3,5123.7,5150.1,5245.2,5283,5240.5,5069.9,5093.6
5,19,3,3,4975.6,5336.9,5577.4,5974,6014.8,6508.2,6811.5,7067.1,7569.5,7730.6,8068,8398.1,8257.9,8360.2,8652.6,8682.2,8980.2,9221,9099.2,9525.2,9651.4,9773.9,10380,10635,10945,11069,11450,11879,12496,12282,13220,13847,14147,14689,15289,15708,16232,16029,16487,17099,17173,16702,17583,17286,17240,17076,17939,16592,16943,16633,15915
5,19,3,7,8976.4,9790.3,11128,11850,12514,13958,14664,15702,16673,18320,20799,21651,22100,23164,24681,26458,27716,28386,29329,29677,30193,31683,32261,32578,32676,32689,32242,33172,32967,33715,35232,35710,36165,36506,37602,37455,36786,34547,36356,36050,35477,33840,34812,33659,31622,30751,31852,31735,32671,32467,31249
5,19,3,13,6146,6578.4,7196,7641.6,7799.3,8576,8945.1,9223.7,9568.3,10155,11183,11587,11595,12026,12563,13143,13315,13827,13962,14457,14655,15394,15926,16657,16939,17099,17539,18191,19673,19844,21750,22265,23708,24085,25506,26331,26829,26912,28383,29426,30129,29174,29850,29487,28723,28229,27816,26753,27702,26839,25980
5,19,3,23,4366.6,4472,4692.9,4922.5,4948.1,5306.5,5528.7,5705,5904.3,6202.2,6707.1,6950.8,6861.4,6930.7,7196.3,7487.9,7554,8979.2,9013.9,9064,9130.2,9567.7,9638.8,9955.1,9730.4,9702.4,9832.5,10036,10314,10030,10805,10759,11017,11121,11688,11854,12002,11751,11969,12241,12383,12085,12131,11951,11618,11294,11475,10839,11289,11367,11099
5,19,4,4,3298.8,3446.3,3685.3,3911.3,3998.5,4253.5,4478.2,4606.9,4789.2,5067.7,5278.6,5560.4,5600.8,5740.1,5843.6,6122.7,6240.4,6358.3,6594.3,6833.1,6720.9,7151.5,7293.4,7622.6,7936.9,7802.6,8092.9,8544.5,8903.9,9057.7,9621.9,9770.9,10143,10464,10910,11304,11904,11972,12327,13135,13323,13223,13721,13719,13430,13433,13659,12956,13265,12574,11908
5,19,4,8,5284.6,5611.9,6219.1,6837.8,7056.8,7623.1,8127.8,8409.3,8790.2,9606.3,10402,10994,11182,11629,12517,13329,13826,14463,14550,15303,15644,16776,17130,17957,18153,18404,18967,19758,21043,21266,23316,23982,24807,26036,26691,27386,28519,28253,29838,30710,31099,30377,30637,30154,28802,28504,28804,27293,27819,26938,25830
5,19,4,14,2338.1,2441,2653.2,2761.8,2769.7,2966.6,3096.4,3207.9,3348.1,3550.8,3728.1,3754.6,3867,4045,4259.9,4613.9,4852,5021.9,5283.9,5622.7,5873.8,6367.5,6912.5,7296.6,7893.4,8145.9,8383.8,9169.4,9562.4,10035,10919,11568,12457,13115,13939,14753,15680,15054,15791,16510,16403,16263,16744,16043,15754,15703,15825,15098,14926,14433,14046
