5	1	1	1	2609.5	2638.3	2710.8	2903.8	3037.6	3089.2	3184	3232.5	3399.5	3585.5	3688.3	3824.8	4016.7	4176.9	4190.6	4367.1	4591.4	4665.8	4919.9	5388.3	5470.3	5847.4	5944	6250.1	6687.1	7068.4	7285.6	7776.2	7727.3	8525.9	9031.1	8879.2	9404.4	9790.8	10425	10653	10514	10829	10822	10811	10562	10672	10249	10052	10147	10143	10196	9797.5	9619.9	9765	9482.1
5	1	1	14	2561.5	2608.4	2738.3	2904.3	3071.9	3149.9	3282.4	3277	3506.2	3700.3	3851	3876.5	4037.4	4238	4325.4	4332.3	4495.4	4730.1	4965	4912.9	5040.2	5193.8	5204.3	5273.5	5518.6	5477.6	5608.5	5566	5517.3	5805.4	6002.4	6063.7	6195	6665.2	6807.2	7074.1	6885.1	7243.5	7353.8	7299	7169.1	7178.3	6971.4	6842.4	6655.1	6687.5	6738	6439.5	6171.7	6045	5700.2
5	1	1	25	3569.8	3629.2	3681.9	3900.4	4096.1	4193.2	4302.8	4488.3	4585.5	4895.3	5199	5301.4	5676.7	5775.9	5784.2	6070.9	6452.5	6794	7362.9	7664.9	7747.8	8361.7	8171.2	8497.9	8909.1	9268	9476.6	9685.9	9951.6	10085	10888	10806	11247	11566	11976	12349	11874	12102	11858	11899	11533	11693	11333	11138	11030	10865	10782	10264	10062	10283	9982.1
5	1	2	2	992.36	1011.6	1018.1	1051.3	1083.2	1114.5	1141.3	1145.3	1180.6	1223.3	1250.3	1282	1315.8	1374.4	1366.3	1387.8	1441.3	1471.4	1574	1608.6	1602.3	1683.8	1674.5	1776.9	1894.9	1930.2	1954.4	1993.7	1940.1	2043.6	2107.4	2071.2	2052.7	2047.4	2189.1	2262.7	2195.2	2234	2242.7	2254.8	2221	2268.7	2223.8	2242	2277.2	2243	2188.9	1976	1943.2	1902.5	1851.6
5	1	2	13	916.82	921.67	931.25	953.56	972.51	994.41	1018.4	1015.1	1029.4	1065.5	1084.5	1096.4	1128.5	1150	1151.5	1183.3	1213.9	1265.1	1298.4	1305.3	1294	1350.9	1363.5	1397.5	1454.1	1463.6	1527.8	1591.9	1613.5	1618.5	1677.2	1675.9	1719.3	1767.9	1850.3	1868.1	1845.6	1857.5	1850.8	1868.9	1809.1	1821.9	1814.7	1796.6	1803.2	1791.6	1774.5	1722.9	1724.8	1727.1	1712.9
5	1	3	3	5441	5570.8	5881.7	6319.8	6557.2	6866	7130.8	7341.3	7771	8236.5	8787.8	9027.8	9458.8	9920.4	10205	10543	11440	11756	12559	13056	12978	13920	13733	14330	15123	15525	15459	15994	16104	15997	16349	15813	15810	16233	17112	17170	16249	16761	16974	16460	16253	16252	15452	15008	14591	14551	14018	13542	13394	13418	13141
5	1	3	24	3269.3	3438	3595.1	3973.8	4137.5	4326.8	4785.5	4837	5036.6	5371.8	5581.7	5960.6	6241.5	6447.4	6648.4	6998.2	7322.5	7493.8	8147.9	8682	8536	8930.3	8931.1	9419.1	9929	10415	10818	11286	11174	11891	12357	12363	12310	12728	13416	13118	12883	12915	12509	12615	12289	12314	12054	12332	12010	12086	11788	11562	10781	11278	10751
5	1	3	15	6893.5	7625.3	7831.5	8477.7	8742.8	9474.3	9031.1	8967	9343.7	9643.1	10000	10511	10234	11379	10980	11526	11802	11987	12683	12987	12731	13396	13295	13352	13810	13753	13990	14155	14452	14534	15100	14353	14796	15332	16110	15810	15426	15297	15146	14909	14464	14102	13623	13167	12997	12997	12933	12158	11953	12189	11888
5	1	5	5	1443.3	1488.9	1520.1	1599.5	1629.8	1682.5	1793.1	1787.9	1846.6	1976.5	2062.1	2171.5	2178.8	2254.4	2272.3	2335.7	2429.8	2483.4	2717.4	2766.6	2790.4	2896.2	2928.3	3088.9	3249.8	3247.5	3327	3445.1	3465.8	3520.2	3717	3637.4	3695.5	3793.5	3910.4	3939.2	3843.1	3969	3951	3938.8	3810.8	3860.2	3694.6	3678.5	3682.2	3627.1	3668.5	3372.6	3306	3313.4	3222
5	1	6	6	2128.8	2209.9	2211.6	2387.5	2467.3	2544.4	2657.7	2694.6	2801.1	3002.6	3187.5	3277.8	3412.9	3506.5	3578.3	3728.5	3887.9	4127.4	4372.8	4483	4393.1	4589.7	4495.3	4740	5039.5	5158.2	5221.2	5452.1	5390.9	5688.5	6025.1	5938	6098.8	6517.4	6887.4	7028.9	6842.9	7203.7	7178.4	7246.5	7152.7	7154.8	7127.2	7015.2	6936.6	7054.1	7066.8	6722	6520.9	6503	6247.6
5	1	6	35	2067.7	2045.5	2152.6	2181.3	2290.9	2465.4	2568.9	2605.5	2668.8	2905.1	3096.5	3107.8	3337.9	3294.5	3448.8	3566.4	3800.2	3952.2	4299.7	4306.3	4402.3	4652	4609	4745.8	4939	5045.4	5175.4	5279.4	5467.7	5609.1	5864.5	5665.6	6065.9	6331.4	6826	7009.1	6506.5	6951.6	7118.2	7183.5	7118.8	6582.7	6354	6069.9	6162.3	6046.7	6075.2	5493.8	5155.3	5170.6	5061.3
5	1	6	12	2572.6	2741.3	2803.1	3130.2	3414.4	3662.8	3942.7	4043.9	4265.8	4739.6	4934.7	5317	5395.2	5717.8	5874.4	6069.6	6383.7	6915.5	7506	7600.9	7886.8	8850	8910.1	9350.8	9987.2	10715	11266	11821	11942	12290	13531	13929	14393	14979	16127	16575	16508	16954	17253	17433	17209	17213	16562	15984	16228	15752	15283	14433	14150	13779	12829
5	1	6	19	2174.7	2376	2468.5	2787.7	3030.1	3447.2	3739.8	4042.5	4444.5	4927	5238.1	5639	5902.7	6287.8	6387.6	6731.3	7019	7508.8	8303.1	8298.5	8781.1	9432.1	9591.3	10070	10577	11059	11860	12102	12246	12378	13193	13285	13331	13437	14285	14452	13778	14418	14322	14058	13642	13184	12966	12645	12517	11589	11823	10728	10418	10474	10029
